                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.91482,                 0.6553,                 1.3215,                0.94395,                0.95207,                0.98021,                0.76611,                0.78777,                0.60978,                  1.217,              0.0016555,              0.0016555,              0.0016555
                     90,                 0.9842,                0.72576,                 1.3762,                 0.9337,                0.93286,                0.97591,                0.76647,                0.82768,                0.60149,                 1.2368,              0.0016515,              0.0016515,              0.0016515
                     91,                0.86462,                0.64202,                 1.2801,                 0.9429,                0.95053,                0.98357,                0.80163,                0.73834,                0.52375,                 1.1602,              0.0016476,              0.0016476,              0.0016476
                     92,                0.94936,                0.68262,                 1.3134,                0.95313,                0.93424,                0.97684,                0.78535,                0.77499,                0.59263,                  1.192,              0.0016436,              0.0016436,              0.0016436
                     93,                 0.9412,                0.67917,                 1.3247,                0.91409,                  0.947,                0.97757,                0.78567,                0.76288,                  0.658,                 1.1791,              0.0016396,              0.0016396,              0.0016396
                     94,                0.88593,                0.63494,                 1.2783,                0.97469,                 0.9258,                0.98552,                 0.8013,                0.76319,                0.54563,                 1.1707,              0.0016357,              0.0016357,              0.0016357
                     95,                0.98182,                0.70911,                 1.3485,                0.96131,                0.92933,                 0.9778,                0.78594,                0.78364,                0.56858,                 1.1997,              0.0016317,              0.0016317,              0.0016317
                     96,                0.91632,                0.65805,                 1.3166,                0.94804,                0.90264,                0.97044,                0.77345,                0.77937,                0.61439,                 1.2105,              0.0016278,              0.0016278,              0.0016278
                     97,                0.90315,                0.65322,                 1.2929,                0.95148,                 0.9702,                0.98726,                0.78179,                0.79117,                0.57576,                  1.182,              0.0016238,              0.0016238,              0.0016238
                     98,                0.93059,                0.66067,                 1.2942,                0.95215,                0.97527,                0.98625,                0.81581,                0.73175,                 0.5109,                 1.1611,              0.0016198,              0.0016198,              0.0016198
                     99,                0.94381,                0.66272,                 1.3281,                0.91891,                0.93286,                0.97206,                0.79248,                0.74411,                0.62904,                 1.1793,              0.0016159,              0.0016159,              0.0016159
                    100,                0.93083,                0.68059,                 1.3227,                 0.9377,                0.95738,                0.98586,                0.80234,                0.74948,                0.56855,                 1.1708,              0.0016119,              0.0016119,              0.0016119
